Wavelength(um),|S11|(Mag),Phase(S11)[rad],|S21|(Mag)
3.000000e-01,1.275376e-01,-1.978631e+00,2.674164e-03
3.085427e-01,1.389271e-01,-6.723016e-01,6.347406e-04
3.170854e-01,1.566246e-01,5.642288e-01,7.285848e-04
3.256281e-01,1.782705e-01,1.683306e+00,7.552368e-04
3.341709e-01,2.006848e-01,2.684287e+00,7.873791e-04
3.427136e-01,2.257251e-01,3.579654e+00,8.231276e-04
3.512563e-01,2.581361e-01,4.406832e+00,8.317843e-04
3.597990e-01,2.965639e-01,5.200088e+00,8.225040e-04
3.683417e-01,3.366211e-01,5.967657e+00,8.210295e-04
3.768844e-01,3.752456e-01,6.706776e+00,8.297548e-04
3.854271e-01,4.111120e-01,7.416131e+00,8.597054e-04
3.939698e-01,4.436700e-01,8.096114e+00,8.969299e-04
4.025126e-01,4.723913e-01,8.748287e+00,9.610743e-04
4.110553e-01,4.970380e-01,9.374214e+00,1.040775e-03
4.195980e-01,5.174334e-01,9.975511e+00,1.141162e-03
4.281407e-01,5.334653e-01,1.055370e+01,1.275100e-03
4.366834e-01,5.451796e-01,1.110989e+01,1.436487e-03
4.452261e-01,5.525689e-01,1.164525e+01,1.627756e-03
4.537688e-01,5.558058e-01,1.216064e+01,1.836636e-03
4.623116e-01,5.551248e-01,1.265691e+01,2.065178e-03
4.708543e-01,5.507645e-01,1.313483e+01,2.307265e-03
4.793970e-01,5.429977e-01,1.359518e+01,2.563144e-03
4.879397e-01,5.322002e-01,1.403853e+01,2.841710e-03
4.964824e-01,5.186031e-01,1.446545e+01,3.119542e-03
5.050251e-01,5.026253e-01,1.487640e+01,3.412301e-03
5.135678e-01,4.846140e-01,1.527185e+01,3.716542e-03
5.221106e-01,4.649584e-01,1.565210e+01,4.025100e-03
5.306533e-01,4.440422e-01,1.601743e+01,4.337226e-03
5.391960e-01,4.222083e-01,1.636805e+01,4.650812e-03
5.477387e-01,3.998045e-01,1.670420e+01,4.965242e-03
5.562814e-01,3.772227e-01,1.702604e+01,5.286378e-03
5.648241e-01,3.547911e-01,1.733356e+01,5.605188e-03
5.733668e-01,3.327170e-01,1.762697e+01,5.915123e-03
5.819095e-01,3.112974e-01,1.790627e+01,6.231434e-03
5.904523e-01,2.906692e-01,1.817155e+01,6.536649e-03
5.989950e-01,2.711083e-01,1.842271e+01,6.838131e-03
6.075377e-01,2.527417e-01,1.865999e+01,7.141906e-03
6.160804e-01,2.356295e-01,1.888340e+01,7.437634e-03
6.246231e-01,2.199332e-01,1.909304e+01,7.725653e-03
6.331658e-01,2.057055e-01,1.928921e+01,8.009726e-03
6.417085e-01,1.930029e-01,1.947238e+01,8.290636e-03
6.502513e-01,1.818520e-01,1.964319e+01,8.568391e-03
6.587940e-01,1.722530e-01,1.980253e+01,8.843155e-03
6.673367e-01,1.641825e-01,1.995154e+01,9.114368e-03
6.758794e-01,1.575849e-01,2.009151e+01,9.379348e-03
6.844221e-01,1.523642e-01,2.022396e+01,9.636123e-03
6.929648e-01,1.484043e-01,2.035061e+01,9.891358e-03
7.015075e-01,1.456119e-01,2.047306e+01,1.015053e-02
7.100503e-01,1.438549e-01,2.059233e+01,1.039778e-02
7.185930e-01,1.429248e-01,2.070966e+01,1.063985e-02
7.271357e-01,1.427450e-01,2.082623e+01,1.088839e-02
7.356784e-01,1.431525e-01,2.094200e+01,1.111902e-02
7.442211e-01,1.440110e-01,2.105800e+01,1.136189e-02
7.527638e-01,1.452467e-01,2.117370e+01,1.158566e-02
7.613065e-01,1.467308e-01,2.128982e+01,1.182217e-02
7.698492e-01,1.483945e-01,2.140555e+01,1.204289e-02
7.783920e-01,1.502049e-01,2.152140e+01,1.226747e-02
7.869347e-01,1.520319e-01,2.163684e+01,1.249499e-02
7.954774e-01,1.539151e-01,2.175157e+01,1.270845e-02
8.040201e-01,1.557937e-01,2.186588e+01,1.292813e-02
8.125628e-01,1.575956e-01,2.197930e+01,1.315337e-02
8.211055e-01,1.593432e-01,2.209152e+01,1.337067e-02
8.296482e-01,1.610412e-01,2.220263e+01,1.358355e-02
8.381910e-01,1.626517e-01,2.231262e+01,1.380125e-02
8.467337e-01,1.641479e-01,2.242130e+01,1.402504e-02
8.552764e-01,1.655293e-01,2.252848e+01,1.425126e-02
8.638191e-01,1.668041e-01,2.263409e+01,1.447748e-02
8.723618e-01,1.679755e-01,2.273810e+01,1.470400e-02
8.809045e-01,1.690418e-01,2.284049e+01,1.493228e-02
8.894472e-01,1.700004e-01,2.294126e+01,1.516378e-02
8.979899e-01,1.708497e-01,2.304035e+01,1.539947e-02
9.065327e-01,1.715902e-01,2.313775e+01,1.563998e-02
9.150754e-01,1.722235e-01,2.323343e+01,1.588580e-02
9.236181e-01,1.727523e-01,2.332739e+01,1.613735e-02
9.321608e-01,1.731803e-01,2.341961e+01,1.639494e-02
9.407035e-01,1.735124e-01,2.351008e+01,1.665863e-02
9.492462e-01,1.737546e-01,2.359882e+01,1.692809e-02
9.577889e-01,1.739136e-01,2.368580e+01,1.720258e-02
9.663317e-01,1.739942e-01,2.377098e+01,1.748161e-02
