Wavelength(um), Transmission(T), Reflection(R), Absorption(A)
3.000000e-01,7.151153e-06,1.626584e-02,9.837270e-01
3.085427e-01,4.028957e-07,1.930074e-02,9.806989e-01
3.170854e-01,5.308358e-07,2.453127e-02,9.754682e-01
3.256281e-01,5.703826e-07,3.178038e-02,9.682191e-01
3.341709e-01,6.199658e-07,4.027439e-02,9.597250e-01
3.427136e-01,6.775390e-07,5.095181e-02,9.490475e-01
3.512563e-01,6.918652e-07,6.663422e-02,9.333651e-01
3.597990e-01,6.765129e-07,8.795013e-02,9.120492e-01
3.683417e-01,6.740895e-07,1.133137e-01,8.866856e-01
3.768844e-01,6.884930e-07,1.408093e-01,8.591901e-01
3.854271e-01,7.390934e-07,1.690131e-01,8.309862e-01
3.939698e-01,8.044833e-07,1.968431e-01,8.031561e-01
4.025126e-01,9.236637e-07,2.231535e-01,7.768455e-01
4.110553e-01,1.083212e-06,2.470468e-01,7.529521e-01
4.195980e-01,1.302252e-06,2.677373e-01,7.322614e-01
4.281407e-01,1.625879e-06,2.845852e-01,7.154131e-01
4.366834e-01,2.063494e-06,2.972207e-01,7.027772e-01
4.452261e-01,2.649590e-06,3.053324e-01,6.946650e-01
4.537688e-01,3.373233e-06,3.089201e-01,6.910765e-01
4.623116e-01,4.264961e-06,3.081636e-01,6.918321e-01
4.708543e-01,5.323470e-06,3.033416e-01,6.966531e-01
4.793970e-01,6.569709e-06,2.948465e-01,7.051469e-01
4.879397e-01,8.075315e-06,2.832370e-01,7.167549e-01
4.964824e-01,9.731540e-06,2.689492e-01,7.310411e-01
5.050251e-01,1.164380e-05,2.526321e-01,7.473562e-01
5.135678e-01,1.381268e-05,2.348507e-01,7.651355e-01
5.221106e-01,1.620143e-05,2.161863e-01,7.837975e-01
5.306533e-01,1.881153e-05,1.971735e-01,8.028077e-01
5.391960e-01,2.163006e-05,1.782599e-01,8.217185e-01
5.477387e-01,2.465363e-05,1.598437e-01,8.401317e-01
5.562814e-01,2.794579e-05,1.422970e-01,8.576751e-01
5.648241e-01,3.141814e-05,1.258767e-01,8.740919e-01
5.733668e-01,3.498868e-05,1.107006e-01,8.892644e-01
5.819095e-01,3.883077e-05,9.690607e-02,9.030551e-01
5.904523e-01,4.272778e-05,8.448856e-02,9.154687e-01
5.989950e-01,4.676003e-05,7.349971e-02,9.264535e-01
6.075377e-01,5.100682e-05,6.387836e-02,9.360706e-01
6.160804e-01,5.531840e-05,5.552127e-02,9.444234e-01
6.246231e-01,5.968572e-05,4.837062e-02,9.515697e-01
6.331658e-01,6.415572e-05,4.231475e-02,9.576211e-01
6.417085e-01,6.873465e-05,3.725012e-02,9.626811e-01
6.502513e-01,7.341732e-05,3.307016e-02,9.668564e-01
6.587940e-01,7.820140e-05,2.967108e-02,9.702507e-01
6.673367e-01,8.307170e-05,2.695590e-02,9.729610e-01
6.758794e-01,8.797216e-05,2.483300e-02,9.750790e-01
6.844221e-01,9.285487e-05,2.321484e-02,9.766923e-01
6.929648e-01,9.783896e-05,2.202385e-02,9.778783e-01
7.015075e-01,1.030333e-04,2.120284e-02,9.786941e-01
7.100503e-01,1.081137e-04,2.069424e-02,9.791976e-01
7.185930e-01,1.132064e-04,2.042749e-02,9.794593e-01
7.271357e-01,1.185569e-04,2.037613e-02,9.795053e-01
7.356784e-01,1.236325e-04,2.049264e-02,9.793837e-01
7.442211e-01,1.290925e-04,2.073916e-02,9.791317e-01
7.527638e-01,1.342275e-04,2.109660e-02,9.787692e-01
