wl,n
0.2200,1.4810759930969
0.2348,1.4734708588956
0.2496,1.4674475690175
0.2644,1.4625814424729
0.2792,1.4585848246885
0.2940,1.4552562348248
0.3088,1.452450573415
0.3236,1.4500608650064
0.3384,1.4480066411144
0.3532,1.4462263087907
0.3680,1.4446719980072
0.3828,1.4433059987206
0.3976,1.44209824502
0.4124,1.4410245053727
0.4272,1.4400650590632
0.4420,1.4392037137022
0.4568,1.4384270660465
0.4716,1.4377239390418
0.4864,1.4370849482684
0.5012,1.4365021646153
0.5160,1.4359688493426
0.5308,1.4354792441818
0.5456,1.4350284036945
0.5604,1.4346120603749
0.5752,1.4342265153404
0.5900,1.4338685491758
0.6048,1.4335353487686
0.6196,1.4332244469225
0.6344,1.4329336722458
0.6492,1.4326611073551
0.6640,1.432405053845
0.6788,1.4321640027951
0.6936,1.4319366098313
0.7084,1.431721673952
0.7232,1.4315181194791
0.7380,1.4313249806178
0.7528,1.4311413881988
0.7676,1.4309665582581
0.7824,1.4307997821666
0.7972,1.4306404180731
0.8120,1.4304878834644
0.8268,1.4303416486781
0.8416,1.4302012312308
0.8564,1.4300661908455
0.8712,1.4299361250827
0.8860,1.4298106654914
0.9008,1.4296894742099
0.9156,1.4295722409591
0.9304,1.4294586803746
0.9452,1.4293485296371
0.9600,1.4292415463612
0.9748,1.4291375067125
0.9896,1.4290362037244
1.004,1.4289400830262
1.019,1.4288423428488
1.034,1.4287468674898
1.049,1.4286534974712
1.064,1.4285620846205
1.078,1.4284784100388
1.093,1.4283903986434
1.108,1.4283039663873
1.123,1.4282190011671
1.138,1.4281353982968
1.152,1.4280585116771
1.167,1.4279772707874
1.182,1.4278971226639
1.197,1.4278179866147
1.212,1.4277397869527
1.226,1.4276675826864
1.241,1.4275909956968
1.256,1.4275151485877
1.271,1.4274399820579
1.286,1.4273654402669
1.300,1.4272963851166
1.315,1.427222904593
1.330,1.4271499027758
1.345,1.427077335276
1.360,1.4270051601488
1.374,1.4269381156849
1.389,1.426866588571
1.404,1.4267953434257
1.419,1.4267243464716
1.434,1.4266535656917
1.448,1.4265876718562
1.463,1.4265172242754
1.478,1.4264469081024
1.493,1.4263766972514
1.508,1.4263065669263
1.522,1.4262411637871
1.537,1.4261711232825
1.552,1.4261010973057
1.567,1.4260310654384
1.582,1.4259610082217
1.596,1.4258955822345
1.611,1.4258254241519
1.626,1.4257551886749
1.641,1.4256848596231
1.656,1.42561442154
1.670,1.425548567917
1.685,1.4254778777237
1.700,1.4254070369725

wl,n
0.2200,0
0.2348,0
0.2496,0
0.2644,0
0.2792,0
0.2940,0
0.3088,0
0.3236,0
0.3384,0
0.3532,0
0.3680,0
0.3828,0
0.3976,0
0.4124,0
0.4272,0
0.4420,0
0.4568,0
0.4716,0
0.4864,0
0.5012,0
0.5160,0
0.5308,0
0.5456,0
0.5604,0
0.5752,0
0.5900,0
0.6048,0
0.6196,0
0.6344,0
0.6492,0
0.6640,0
0.6788,0
0.6936,0
0.7084,0
0.7232,0
0.7380,0
0.7528,0
0.7676,0
0.7824,0
0.7972,0
0.8120,0
0.8268,0
0.8416,0
0.8564,0
0.8712,0
0.8860,0
0.9008,0
0.9156,0
0.9304,0
0.9452,0
0.9600,0
0.9748,0
0.9896,0
1.004,0
1.019,0
1.034,0
1.049,0
1.064,0
1.078,0
1.093,0
1.108,0
1.123,0
1.138,0
1.152,0
1.167,0
1.182,0
1.197,0
1.212,0
1.226,0
1.241,0
1.256,0
1.271,0
1.286,0
1.300,0
1.315,0
1.330,0
1.345,0
1.360,0
1.374,0
1.389,0
1.404,0
1.419,0
1.434,0
1.448,0
1.463,0
1.478,0
1.493,0
1.508,0
1.522,0
1.537,0
1.552,0
1.567,0
1.582,0
1.596,0
1.611,0
1.626,0
1.641,0
1.656,0
1.670,0
1.685,0
1.700,0
