wl,n
0.21000,1.41467
0.21158,1.39003
0.21317,1.36458
0.21475,1.33830
0.21633,1.31112
0.21792,1.28300
0.21950,1.25388
0.22108,1.22368
0.22267,1.19234
0.22425,1.15975
0.22583,1.12581
0.22741,1.09040
0.22900,1.05338
0.23058,1.01456
0.23216,0.97375
0.23375,0.93069
0.23533,0.88503
0.23691,0.83634
0.23850,0.78423
0.24008,0.72766
0.24166,0.66527
0.24325,0.59727
0.24483,0.51880
0.24641,0.41814
0.24800,0.30401
0.24958,0.19128
0.25116,0.10000
0.25275,0.10000
0.25433,0.10000
0.25591,0.10000
0.25749,0.10000
0.25908,0.10000
0.26066,0.10000
0.26224,0.10000
0.26383,0.10000
0.26541,0.10000
0.26699,0.10000
0.26858,0.10000
0.27016,0.10000
0.27174,0.10000
0.27333,0.10000
0.27491,0.10000
0.27649,0.10000
0.27808,0.10000
0.27966,0.10000
0.28124,0.10000
0.28283,0.10000
0.28441,0.10000
0.28599,0.10000
0.28758,0.10000
0.28916,0.10000
0.29074,0.10000
0.29232,0.10000
0.29391,0.10000
0.29549,0.10000
0.29707,0.10000
0.29866,0.10000
0.30024,0.10000
0.30182,0.10000
0.30341,0.10000
0.30499,0.10000
0.30657,0.10000
0.30816,0.10000
0.30974,0.10000
0.31132,0.10000
0.31291,0.10000
0.31449,0.10000
0.31607,0.10000
0.31766,0.10000
0.31924,0.10000
0.32082,0.10000
0.32240,0.10000
0.32399,0.10000
0.32557,0.10000
0.32715,0.10000
0.32874,0.10000
0.33032,0.10000
0.33190,0.10000
0.33349,0.10000
0.33507,0.10000
0.33665,0.10000
0.33824,0.10000
0.33982,0.10000
0.34140,0.10000
0.34299,0.10000
0.34457,0.10000
0.34615,0.10000
0.34774,0.10000
0.34932,0.10000
0.35090,0.10000
0.35248,0.10000
0.35407,0.10000
0.35565,0.10000
0.35723,0.10000
0.35882,0.10000
0.36040,0.10000
0.36198,0.10000
0.36357,0.10000
0.36515,0.10000
0.36673,0.10000
0.36832,0.10000
0.36990,0.10000
0.37148,0.10000
0.37307,0.10000
0.37465,0.10000
0.37623,0.10000
0.37782,0.10000
0.37940,0.10000
0.38098,0.10000
0.38257,0.10000
0.38415,0.10000
0.38573,0.10000
0.38731,0.10000
0.38890,0.10000
0.39048,0.10000
0.39206,0.10000
0.39365,0.10000
0.39523,0.10000
0.39681,0.10000
0.39840,0.10000
0.39998,0.10000
0.40156,0.10000
0.40315,0.10000
0.40473,0.10000
0.40631,0.10000
0.40790,0.10000
0.40948,0.10000
0.41106,0.10000
0.41265,0.10000
0.41423,0.10000
0.41581,0.10000
0.41739,0.10000
0.41898,0.10000
0.42056,0.10000
0.42214,0.10000
0.42373,0.10000
0.42531,0.10000
0.42689,0.10000
0.42848,0.10000
0.43006,0.10000
0.43164,0.10000
0.43323,0.10000
0.43481,0.10000
0.43639,0.10000
0.43798,0.10000
0.43956,0.10000
0.44114,0.10000
0.44273,0.10000
0.44431,0.10000
0.44589,0.10000
0.44747,0.10000
0.44906,0.10000
0.45064,0.10000
0.45222,0.10000
0.45381,0.10000
0.45539,0.10000
0.45697,0.10000
0.45856,0.10000
0.46014,0.10000
0.46172,0.10000
0.46331,0.10000
0.46489,0.10000
0.46647,0.10000
0.46806,0.10000
0.46964,0.10000
0.47122,0.10000
0.47281,0.10000
0.47439,0.10000
0.47597,0.10000
0.47756,0.10000
0.47914,0.10000
0.48072,0.10000
0.48230,0.10000
0.48389,0.10000
0.48547,0.10000
0.48705,0.10000
0.48864,0.10000
0.49022,0.10000
0.49180,0.10000
0.49339,0.10000
0.49497,0.10000
0.49655,0.10000
0.49814,0.10000
0.49972,0.10000
0.50130,0.10000
0.50289,0.10000
0.50447,0.10000
0.50605,0.10000
0.50764,0.10000
0.50922,0.10000
0.51080,0.10000
0.51238,0.10000
0.51397,0.10000
0.51555,0.10000
0.51713,0.10000
0.51872,0.10000
0.52030,0.10000
0.52188,0.10000
0.52347,0.10000
0.52505,0.10000
0.52663,0.10000
0.52822,0.10000
0.52980,0.10000
0.53138,0.10000
0.53297,0.10000
0.53455,0.10000
0.53613,0.10000
0.53772,0.10000
0.53930,0.10000
0.54088,0.10000
0.54246,0.10000
0.54405,0.10000
0.54563,0.10000
0.54721,0.10000
0.54880,0.10000
0.55038,0.10000
0.55196,0.10000
0.55355,0.10000
0.55513,0.10000
0.55671,0.10000
0.55830,0.10000
0.55988,0.10000
0.56146,0.10000
0.56305,0.10000
0.56463,0.10000
0.56621,0.10000
0.56780,0.10000
0.56938,0.10000
0.57096,0.10000
0.57255,0.10000
0.57413,0.10000
0.57571,0.10000
0.57729,0.10000
0.57888,0.10000
0.58046,0.10000
0.58204,0.10000
0.58363,0.10000
0.58521,0.10000
0.58679,0.10000
0.58838,0.10000
0.58996,0.10000
0.59154,0.10000
0.59313,0.10000
0.59471,0.10000
0.59629,0.10000
0.59788,0.10000
0.59946,0.10000
0.60104,0.10000
0.60263,0.10000
0.60421,0.10000
0.60579,0.10000
0.60737,0.10000
0.60896,0.10000
0.61054,0.10000
0.61212,0.10000
0.61371,0.10000
0.61529,0.10000
0.61687,0.10000
0.61846,0.10000
0.62004,0.10000
0.62162,0.10000
0.62321,0.10000
0.62479,0.10000
0.62637,0.10000
0.62796,0.10000
0.62954,0.10000
0.63112,0.10000
0.63271,0.10000
0.63429,0.10000
0.63587,0.10000
0.63745,0.10000
0.63904,0.10000
0.64062,0.10000
0.64220,0.10142
0.64379,0.10288
0.64537,0.10435
0.64695,0.10583
0.64854,0.10731
0.65012,0.10881
0.65170,0.11031
0.65329,0.11182
0.65487,0.11334
0.65645,0.11486
0.65804,0.11639
0.65962,0.11794
0.66120,0.11949
0.66279,0.12104
0.66437,0.12261
0.66595,0.12418
0.66754,0.12577
0.66912,0.12736
0.67070,0.12896
0.67228,0.13056
0.67387,0.13218
0.67545,0.13380
0.67703,0.13543
0.67862,0.13707
0.68020,0.13872
0.68178,0.14038
0.68337,0.14204
0.68495,0.14372
0.68653,0.14540
0.68812,0.14709
0.68970,0.14879
0.69128,0.15049
0.69287,0.15221
0.69445,0.15393
