wl,n
0.2200,1.4128543611635
0.2348,1.4072855908842
0.2496,1.4028526449556
0.2644,1.3992566686935
0.2792,1.3962931990379
0.2940,1.3938178820179
0.3088,1.3917260881408
0.3236,1.3899402695946
0.3384,1.3884018360128
0.3532,1.3870657734887
0.3680,1.3858969861508
0.3828,1.3848677514426
0.3976,1.3839559140967
0.4124,1.3831435812531
0.4272,1.3824161644574
0.4420,1.3817616661206
0.4568,1.3811701410776
0.4716,1.3806332854218
0.4864,1.3801441191001
0.5012,1.3796967384299
0.5160,1.3792861213528
0.5308,1.3789079728763
0.5456,1.3785586014391
0.5604,1.378234819282
0.5752,1.3779338616112
0.5900,1.3776533205872
0.6048,1.377391091094
0.6196,1.3771453259346
0.6344,1.3769143986147
0.6492,1.3766968722762
0.6640,1.3764914736381
0.6788,1.3762970710412
0.6936,1.3761126558695
0.7084,1.3759373267665
0.7232,1.3757702761731
0.7380,1.3756107788046
0.7528,1.375458181751
0.7676,1.3753118959459
0.7824,1.3751713887887
0.7972,1.3750361777472
0.8120,1.3749058247915
0.8268,1.37477993154
0.8416,1.3746581350133
0.8564,1.3745401039108
0.8712,1.3744255353376
0.8860,1.3743141519206
0.9008,1.3742056992606
0.9156,1.374099943678
0.9304,1.3739966702124
0.9452,1.3738956808442
0.9600,1.3737967929116
0.9748,1.3736998376967
0.9896,1.3736046591628
1.004,1.3735136208213
1.019,1.3734202991856
1.034,1.3733283905236
1.049,1.3732377744928
1.064,1.3731483392546
1.078,1.3730658398064
1.093,1.3729783987062
1.108,1.3728918529263
1.123,1.372806117764
1.138,1.372721114098
1.152,1.3726423719825
1.167,1.3725585769626
1.182,1.3724753095658
1.197,1.3723925087272
1.212,1.3723101171485
1.226,1.3722335400674
1.241,1.3721517900009
1.256,1.3720703003179
1.271,1.3719890260525
1.286,1.3719079248432
1.300,1.37183235125
1.315,1.3717514733611
1.330,1.3716706576383
1.345,1.3715898703377
1.360,1.3715090795549
1.374,1.3714336450291
1.389,1.3713527633385
1.404,1.3712717940839
1.419,1.371190711505
1.434,1.3711094911657
1.448,1.3710335407461
1.463,1.3709519893285
1.478,1.3708702353517
1.493,1.3707882588394
1.508,1.3707060407844
1.522,1.3706290700316
1.537,1.3705463344407
1.552,1.3704633066151
1.567,1.3703799708368
1.582,1.3702963121079
1.596,1.3702179266135
1.611,1.3701336034787
1.626,1.3700489171787
1.641,1.3699638551762
1.656,1.3698784054764
1.670,1.3697982924978
1.685,1.3697120611208
1.700,1.3696254097195

wl,k
0.2200,0
0.2348,0
0.2496,0
0.2644,0
0.2792,0
0.2940,0
0.3088,0
0.3236,0
0.3384,0
0.3532,0
0.3680,0
0.3828,0
0.3976,0
0.4124,0
0.4272,0
0.4420,0
0.4568,0
0.4716,0
0.4864,0
0.5012,0
0.5160,0
0.5308,0
0.5456,0
0.5604,0
0.5752,0
0.5900,0
0.6048,0
0.6196,0
0.6344,0
0.6492,0
0.6640,0
0.6788,0
0.6936,0.0
0.7084,0.0
0.7232,0.0
0.7380,0.0
0.7528,0.0
0.7676,0.0
0.7824,0.0
0.7972,0.0
0.8120,0.0
0.8268,0
0.8416,0.0
0.8564,0.0
0.8712,0
0.8860,0.0
0.9008,0
0.9156,0.0
0.9304,0
0.9452,0.0
0.9600,0.0
0.9748,0.0
0.9896,0
1.004,0
1.019,0
1.034,0
1.049,0
1.064,0
1.078,0
1.093,0
1.108,0
1.123,0
1.138,0
1.152,0
1.167,0
1.182,0
1.197,0
1.212,0
1.226,0
1.241,0
1.256,0
1.271,0
1.286,0
1.300,0
1.315,0
1.330,0
1.345,0
1.360,0
1.374,0
1.389,0
1.404,0
1.419,0
1.434,0
1.448,0
1.463,0
1.478,0
1.493,0
1.508,0
1.522,0
1.537,0
1.552,0
1.567,0
1.582,0
1.596,0
1.611,0
1.626,0
1.641,0
1.656,0
1.670,0
1.685,0
1.700,0
